Record pulse
P,I,D:
600,30,20
7827,-1,3
11649,-8,8
15389,-15,22
19137,-32,31
22880,-43,53
26612,-67,66
30290,-81,95
34035,-111,111
37768,-128,144
41443,-163,162
45179,-181,199
48921,-218,219
52706,-238,259
56517,-278,280
60201,-299,322
63945,-340,344
67674,-362,388
71400,-405,411
75122,-427,456
78861,-471,480
82597,-494,526
86330,-539,550
90011,-561,597
93745,-607,622
97473,-629,669
101140,-675,694
104870,-699,742
108593,-745,767
112363,-769,816
116080,-815,841
119752,-839,890
123492,-886,915
127226,-909,964
130898,-957,989
134633,-980,1039
138361,-1027,1064
142132,-1051,1114
145860,-1099,1139
149540,-1123,1189
153271,-1170,1214
157005,-1194,1265
160677,-1242,1290
164411,-1266,1340
168140,-1313,1365
171920,-1337,1416
175651,-1385,1441
179344,-1409,1491
183084,-1457,1517
186817,-1481,1567
190499,-1529,1593
194233,-1553,1643
197957,-1601,1668
201637,-1625,1719
205362,-1673,1744
209073,-1696,1795
212834,-1744,1820
216567,-1768,1871
220238,-1816,1896
223990,-1840,1947
227748,-1888,1973
231432,-1912,2023
235147,-1960,2049
238865,-1984,2099
242613,-2032,2124
246337,-2056,2175
250017,-2104,2200
253753,-2128,2251
257479,-2176,2276
261150,-2200,2327
264870,-2248,2352
268589,-2272,2402
272359,-2320,2428
276083,-2344,2478
279758,-2392,2503
283493,-2416,2554
287216,-2464,2579
290887,-2488,2629
294633,-2537,2654
298361,-2560,2704
302133,-2609,2729
305876,-2632,2778
309552,-2680,2802
313292,-2704,2844
317030,-2752,2862
320697,-2775,2892
324431,-2820,2905
328169,-2841,2924
331914,-2875,2930
335637,-2889,2935
339307,-2911,2934
343043,-2919,2929
346765,-2926,2925
350427,-2927,2916
354171,-2925,2911
357905,-2918,2902
361631,-2910,2899
365353,-2905,2896
369066,-2896,2897
372821,-2893,2906
376544,-2890,2913
380211,-2892,2931
383935,-2896,2941
387667,-2908,2961
391328,-2917,2972
395099,-2937,2993
398841,-2948,3003
402581,-2970,3020
406305,-2981,3025
409980,-3003,3029
413719,-3012,3027
417463,-3024,3019
421135,-3026,3013
424859,-3024,2998
428578,-3019,2990
432362,-3007,2974
436100,-3000,2966
439777,-2984,2952
443517,-2975,2946
447244,-2959,2942
450916,-2952,2943
454645,-2942,2951
458373,-2940,2957
462131,-2944,2972
465852,-2949,2981
469528,-2963,2999
473269,-2971,3008
476996,-2988,3026
480662,-2997,3034
484397,-3016,3040
488125,-3025,3047
491899,-3039,3047
495619,-3043,3040
499306,-3045,3035
503038,-3042,3021
506767,-3031,3013
510438,-3024,2996
514172,-3008,2987
517890,-2999,2970
521578,-2982,2962
525286,-2974,2951
529000,-2959,2949
532730,-2953,2952
536453,-2949,2957
540129,-2950,2969
543853,-2958,2977
547581,-2965,2995
551248,-2980,3004
554968,-2989,3021
558686,-3007,3030
562426,-3016,3044
566159,-3034,3048
569825,-3041,3050
573590,-3049,3047
577323,-3050,3037
580989,-3045,3030
584725,-3039,3015
588449,-3025,3006
592186,-3017,2989
595902,-2999,2980
599573,-2990,2963
603303,-2971,2957
607030,-2963,2951
610706,-2952,2951
614448,-2950,2958
618186,-2952,2963
621912,-2956,2978
625634,-2969,2986
629320,-2977,3004
633045,-2995,3012
636773,-3003,3029
640449,-3022,3037
644178,-3030,3048
647902,-3044,3050
651579,-3048,3048
655302,-3050,3044
659011,-3046,3031
662737,-3042,3023
666460,-3029,3006
670136,-3021,2997
673866,-3003,2979
677594,-2994,2970
681270,-2976,2956
684996,-2968,2952
688724,-2955,2950
692455,-2951,2953
696177,-2951,2962
699849,-2954,2969
703589,-2965,2985
707322,-2972,2993
710999,-2989,3011
714723,-2998,3020
718441,-3016,3036
722169,-3025,3043
725899,-3040,3050
729585,-3046,3050
734280,-3050,3044
738097,-3045,3038
742641,-3040,3024
746583,-3027,3007
750250,-3010,2998
753934,-3001,2980
757707,-2983,2971
761429,-2974,2957
765203,-2959,2953
768869,-2954,2951
772557,-2951,2953
776325,-2952,2963
779994,-2962,2970
783679,-2968,2986
787455,-2984,2995
791121,-2993,3013
794797,-3011,3022
798570,-3019,3038
802300,-3036,3045
806083,-3043,3051
809739,-3049,3051
813562,-3049,3044
817436,-3042,3038
821113,-3036,3024
824808,-3021,3016
828620,-3013,2999
832342,-2995,2990
836150,-2986,2972
839807,-2968,2964
843496,-2961,2953
847285,-2951,2951
850951,-2950,2953
854630,-2954,2957
858429,-2958,2970
862120,-2971,2978
865912,-2979,2995
869573,-2997,3004
873258,-3006,3022
877055,-3024,3030
880717,-3033,3044
884431,-3046,3048
888219,-3049,3050
891906,-3049,3048
895702,-3046,3037
899364,-3035,3030
903080,-3027,3014
906874,-3011,3005
910550,-3002,2987
914247,-2993,2979
918040,-2975,2962
921736,-2967,2956
925533,-2954,2951
929205,-2950,2951
932880,-2951,2958
936677,-2955,2964
940349,-2967,2979
944024,-2974,2988
947812,-2991,3005
951516,-2999,3014
955311,-3017,3031
958973,-3026,3039
962666,-3041,3049
966462,-3046,3050
970128,-3049,3047
973813,-3047,3043
977596,-3037,3030
981258,-3031,3022
985341,-3014,3005
989165,-2996,2996
992945,-2987,2979
996663,-2970,2970
1000339,-2962,2956
1004084,-2951,2952
1007821,-2950,2951
1011512,-2953,2953
1015221,-2957,2964
1018944,-2971,2971
1022678,-2979,2988
1026397,-2997,2996
1030088,-3006,3014
1033819,-3015,3023
1037553,-3033,3039
1041214,-3040,3045
1044934,-3049,3050
1048657,-3051,3050
1052387,-3046,3043
1056110,-3041,3037
1059790,-3027,3022
1063525,-3019,3014
1067249,-3001,2996
1070929,-2992,2987
1074654,-2975,2970
1078382,-2966,2962
1082137,-2953,2952
1085861,-2951,2950
1089551,-2951,2953
1093277,-2955,2957
1097000,-2967,2971
1100676,-2974,2979
1104406,-2991,2996
1108149,-2999,3005
1111914,-3017,3023
1115635,-3026,3032
1119315,-3041,3046
1123055,-3046,3049
